Place,Easting,Northing,Longitude,Latitude
 Swan River,400200,6467820,115.94435,-31.921132
Chapman St Drain,400200,6468135,115.94438,-31.918291
Kitchener St Drain,399970,6468100,115.94194,-31.918586
Woolcock\nCt Drain,400040,6468240,115.9427,-31.917329
Hardy Road,399900,6468230,115.94121,-31.917407
Iveson Place,400540,6468490,115.94801,-31.915118
West Road,400875,6468230,115.95153,-31.917493
Ashfield Flats\nReserve,400450,6468000,115.94701,-31.91953
Lookout symbol,400280,6468395,115.94525,-31.915952
Lookout,400280,6468395,115.94525,-31.915952
