Street,street_lon,street_lat,street_E,street_N,veg_lon,veg_lat,veg_E,veg_N,bound_lon,bound_lat,bound_E,bound_N,Drain,drain_lon,drain_lat,drain_E,drain_N,Wetland,wetland_lon,wetland_lat,wetland_E,wetland_N,swan_lon,swan_lat,swan_E,swan_N,Path,path_lon,path_lat,path_E,path_N
Hardy_Rd,115.9376432,-31.92068954,399565.89,6467862.9,115.9401097,-31.92016024,399798.5,6467923.8,115.9427416,-31.91977526,400046.92,6467968.9,Chapman_St,115.9427,-31.91985,400046.4,6467960,NW,115.9425,-31.91805,400019.2,6468160,115.954354,-31.91766,401142.55,6468214,Limestone,115.9475908,-31.91583756,400501.14,6468409.9
Hardy_Rd,115.9428463,-31.91625731,400053.01,6468359,115.9401993,-31.92024469,399807.07,6467914.5,115.943115,-31.9199254,400082.38,6467952.6,Chapman_St,115.943,-31.91964,400070.1,6467985,NW,115.9425,-31.91812,400023,6468152,115.953324,-31.91892,401046.5,6468073.4,Limestone,115.9474296,-31.91597435,400486.05,6468394.6
Hardy_Rd,115.9431243,-31.91606297,400079.09,6468380.8,115.9409554,-31.91984783,399878.12,6467959.2,115.943793,-31.92019232,400146.77,6467923.7,Chapman_St,115.9437,-31.91901,400140.3,6468055,NW,115.9426,-31.91821,400032.4,6468143,115.9524,-31.92068,400965.6,6467877,Limestone,115.9472475,-31.91606357,400468.93,6468384.5
Hardy_Rd,115.9433859,-31.91595886,400103.71,6468392.6,115.9415822,-31.91970429,399937.23,6467975.7,115.9445791,-31.92064273,400221.58,6467874.5,Chapman_St,115.9445,-31.91839,400210.4,6468124,NW,115.9427,-31.91827,400038.3,6468135,115.9521,-31.92107,400928.9,6467834,Limestone,115.9471073,-31.91612899,400455.74,6468377.1
Hardy_Rd,115.9436394,-31.91587557,400127.59,6468402,115.9423086,-31.91974543,400005.95,6467971.8,115.9454635,-31.9211682,400305.76,6467817,Chapman_St,115.9453,-31.91775,400282.9,6468196,NW,115.9428,-31.91829,400047.9,6468133,115.9517,-31.92158,400897.9,6467777,Limestone,115.9470163,-31.91619442,400447.21,6468369.8
Hardy_Rd,115.9452258,-31.91546607,400277.14,6468448.9,115.9423888,-31.91968977,400013.47,6467978.1,115.9462693,-31.92169367,400382.51,6467759.5,Chapman_St,115.946,-31.91717,400347.6,6468260,NW,115.9428,-31.91827,400053.4,6468136,115.9513,-31.92209,400857,6467720,Limestone,115.9468831,-31.91630742,400434.74,6468357.1
Hardy_Rd,115.9453893,-31.91538972,400292.51,6468457.5,115.9426766,-31.91967054,400040.66,6467980.5,115.9474486,-31.92232756,400494.69,6467690.3,Chapman_St,115.9468,-31.91649,400425.2,6468337,NW,115.9428,-31.91815,400055.3,6468149,115.9508,-31.92245,400813.4,6467680,Limestone,115.9465188,-31.916355,400400.35,6468351.5
Hardy_Rd,115.9454793,-31.91529255,400300.92,6468468.4,115.9428059,-31.91978876,400053.01,6467967.5,115.9482347,-31.92259446,400569.29,6467661.5,Chapman_St,115.9469,-31.91643,400432.1,6468343,NW,115.9429,-31.91807,400062.2,6468158,115.9503,-31.92279,400768,6467642,Limestone,115.9463716,-31.91639069,400386.47,6468347.4
Hardy_Rd,115.9455447,-31.91520231,400307,6468478.4,115.9434824,-31.92005054,400117.25,6467939.1,115.9487555,-31.9226862,400618.63,6467651.8,Chapman_St,115.9469,-31.91642,400437,6468344,NW,115.943,-31.91805,400067.6,6468161,115.9496,-31.92279,400699.3,6467642,Limestone,115.9451034,-31.91656911,400266.75,6468326.5
Hardy_Rd,115.9455937,-31.91504961,400311.47,6468495.4,115.9437909,-31.91967056,400146.01,6467981.5,115.9493648,-31.92270288,400676.25,6467650.5,Chapman_St,115.947,-31.91644,400442.7,6468342,NW,115.943,-31.91796,400073.9,6468171,115.9488,-31.92275,400624.5,6467645,Limestone,115.944634,-31.91664643,400222.46,6468317.5
