"SITEID","Date","LATITUDE","LONGITUDE","STATE","EASTING","NORTHING","UTMZONE","DUPLICATE.CODE","DUPLICATE.SITEID","SAMPLEID","GRAIN.SIZE","DEPTH","Type","Ag.AR","Al.AR","As.AR","Au.AR","B.AR","Ba.AR","Be.AR","Bi.AR","Ca.AR","Cd.AR","Ce.AR","Co.AR","Cr.AR","Cs.AR","Cu.AR","Dy.AR","Er.AR","Eu.AR","Fe.AR","Ga.AR","Gd.AR","Ge.AR","Hf.AR","Hg.AR","Ho.AR","In.AR","K.AR","La.AR","Li.AR","Lu.AR","Mg.AR","Mn.AR","Mo.AR","Na.AR","Nb.AR","Nd.AR","Ni.AR","Pb.AR","Pr.AR","Rb.AR","Sb.AR","Sc.AR","Se.AR","Sm.AR","Sn.AR","Sr.AR","Ta.AR","Tb.AR","Te.AR","Th.AR","Tl.AR","Tm.AR","U.AR","V.AR","W.AR","Y.AR","Zn.AR","Zr.AR","Au.FA","Pd.FA","Pt.FA","Ag.ICP","As.ICP","Ba.ICP","Be.ICP","Bi.ICP","Cd.ICP","Ce.ICP","Co.ICP","Cr.ICP","Cs.ICP","Cu.ICP","Dy.ICP","Er.ICP","Eu.ICP","Ga.ICP","Gd.ICP","Ge.ICP","Hf.ICP","Ho.ICP","La.ICP","Lu.ICP","Mo.ICP","Nb.ICP","Nd.ICP","Ni.ICP","Pb.ICP","Pr.ICP","Rb.ICP","Sb.ICP","Sc.ICP","Sm.ICP","Sn.ICP","Sr.ICP","Ta.ICP","Tb.ICP","Th.ICP","U.ICP","V.ICP","W.ICP","Y.ICP","Yb.ICP","Zn.ICP","Zr.ICP","F.ISE","Al.XRF","Ca.XRF","Cl.XRF","FeT.XRF","K.XRF","Mg.XRF","Mn.XRF","Na.XRF","P.XRF","S.XRF","Si.XRF","Ti.XRF","LOI.Cal","pH","EC"
2007190003,"02/04/08",-22.7017,114.8976,"WA",7487971.713,284038.0443,50,"Duplicate.1",2007190213,"2007190003001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.013,7000,1.6,6e-04,1,46.2,0.5,0.21,1000,0.03,41.7,5.5,30.9,1.28,11.8,1.2,0.5,0.4,20000,2.95,2.3,0.05,0.1,0.005,0.2,0.01,2000,21.2,6.7,0.05,1600,337,0.19,80,0.3,16.8,9.5,7.6,4.4,19.5,0.13,2.8,0.03,2.9,0.3,9.9,0.025,0.2,0.03,7.7,0.14,0.05,1.3,31,0.05,6.19,40.7,5.7,NA,NA,NA,NA,3.7,400.1,1.1,0.25,NA,45.67,6.2,40.9,2.85,13.4,2.671,1.567,0.6333,8.5,2.858,0.58,7,0.554,24.73,0.265,0.7,8,18.85,12.7,18.81,5.14,90,0.9,7.6,3.791,1.4,69.7,0.79,0.508,11.92,2.36,49.9,1.1,17.1,1.697,29.2,269.3,400,40698,3502,58,23745,18055,2635,426,5579,292,41,386227,3056,17387,6.2625,10.595
2007190004,"03/05/08",-22.7363,116.122,"WA",7485404.277,409844.8931,50,NA,NA,"2007190004001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.036,15700,7.7,7e-04,2,105,1,0.29,4100,0.14,48.1,20.2,103,1.36,41.9,2.2,1,0.8,75800,7.52,3.4,0.1,0.3,0.02,0.4,0.05,3300,22.9,13.6,0.1,5900,801,0.45,120,0.2,19.9,43.2,13.6,5.1,20.5,0.63,9,0.15,3.9,0.65,17.4,0.025,0.4,0.03,7.1,0.15,0.1,1,92,0.05,11.6,111,11.9,0.001,0.001,0.0017,NA,10.3,374.4,1.6,0.36,0.17,55.2,23.4,136.5,5.22,48.3,4.45,2.586,1.0621,16.2,4.368,0.85,5.32,0.935,28.65,0.383,1,10.7,23.49,49.8,18.59,6.15,96.1,3,16.8,4.899,2.6,61.5,0.94,0.798,11.54,2.3,154.5,1.7,28.7,2.575,89.6,198.4,460,64845,8391,42,80333,15938,10546,875,3888,563,169,286301,5442,84164,7.245,28.1
2007190007,"10/05/08",-24.1167,118.3824,"WA",7332160.469,640487.4472,50,NA,NA,"2007190007001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.019,11000,5.2,0.0012,2,144,0.8,0.25,11200,0.06,34.6,12,118,1.69,32.5,1.6,0.8,0.6,52500,6.82,2.7,0.05,0.2,0.02,0.3,0.04,2700,16.5,8.8,0.05,4200,590,0.63,140,0.1,15.2,28.5,9.89,3.9,21.3,0.39,6.9,0.23,3,0.75,26.6,0.025,0.3,0.04,6.4,0.11,0.1,0.8,101,0.05,8.97,50.1,10.2,0.001,0.001,0.0019,NA,9.2,382.1,1.6,0.37,0.21,44.33,15.1,149.6,5.58,40.3,3.546,1.984,0.8227,13.7,3.247,0.86,7,0.732,24.36,0.333,0.4,11.3,18.43,42,16.43,4.96,86.5,NA,13.4,3.587,1.8,57.7,0.97,0.583,11.46,2.14,147.4,1.3,22.1,2.18,58.7,253.3,480,55449,11692,44,58456,13763,8538,713,2211,218,110,317477,6131,69999,8.305,47
2007190016,"03/07/07",-30.8569,119.9266,"WA",6582589.001,779865.4052,50,NA,NA,"2007190016001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.004,17100,2.2,0.002,10,62.8,0.5,0.11,50,0.02,40.5,7.6,70.2,0.8,13.3,1.4,0.7,0.5,25100,6.48,2.4,0.05,0.2,0.005,0.3,0.02,4800,21,11.6,0.05,13600,378,0.24,15100,0.05,16.1,24.7,9.78,4.3,18.7,0.02,5.9,0.12,2.7,0.39,13.5,0.025,0.3,0.04,9.3,0.09,0.05,0.6,53,0.05,8.93,19,10.7,0.002,0.001,0.0013,NA,5.3,321.9,NA,0.13,NA,42.54,8.1,79.9,1.29,17.7,1.857,0.941,0.5968,10.2,2.045,0.37,4.14,0.35,25.71,0.15,NA,4.7,16.13,35.2,13.94,4.52,34.8,NA,7.6,2.617,0.8,52,0.37,0.337,12.76,1.03,55.8,0.6,11.8,0.986,20.4,160.3,200,50331,1630,22953,26046,8359,15750,333,19282,100,1171,329858,1966,69096,6.47,15035
2007190017,"07/06/08",-20.7195,120.9245,"WA",7707510.116,283859.6484,51,NA,NA,"2007190017001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.001,3600,0.9,4e-04,0.5,13.6,0.2,0.07,50,0.01,6.38,2.4,33.3,0.29,3.27,0.3,0.1,0.05,12900,2.27,0.5,0.05,0.1,0.005,0.05,0.01,300,3.7,1.8,0.05,200,100,0.15,80,0.2,3.2,2.2,4.05,0.8,4.2,0.06,1.4,0.05,0.6,0.25,2.4,0.025,0.05,0.04,2.7,0.03,0.05,0.2,22,0.05,1.5,21.1,5.5,NA,NA,NA,NA,4.3,110.1,NA,0.19,NA,9.08,2.1,43.3,0.63,6.4,1.436,0.923,0.1654,3.5,0.958,0.35,10.38,0.312,6.72,0.179,NA,6.4,3.82,11.4,4.3,1.08,18.2,NA,5.3,0.792,2,5.8,0.52,0.199,4.51,0.92,26.1,0.5,9.6,1.25,5.2,428.8,120,16339,357,41,13163,4076,133,77,185,96,34,433967,1828,12040,6.0125,3.65
2007190018,"06/12/07",-30.9634,118.7959,"WA",6573070.923,671526.2626,50,NA,NA,"2007190018001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.01,9000,0.05,6e-04,2,17.7,0.6,0.08,300,0.01,85.2,4.4,29.4,0.71,6.09,2.4,1,0.6,10200,3.66,4.5,0.05,0.2,0.02,0.4,0.01,2100,39.7,7.9,0.05,1700,483,0.19,1750,0.2,29.4,7,37.3,8.5,23.4,0.01,3.4,0.03,5.3,0.46,4.2,0.025,0.5,0.01,26.5,0.13,0.1,2.1,14,0.05,12,13.3,7.9,NA,NA,NA,NA,3.1,524.2,1.3,0.17,0.11,101.52,5.5,46.1,2.08,11.6,5.319,3.1,0.7748,14,5.331,0.49,6.54,1.118,56.72,0.457,0.3,13.1,34.11,17.6,61.85,10.07,196.2,NA,6.3,6.518,1.3,44.8,1.27,0.963,39.51,5.14,19.7,0.6,35.8,3.194,17.6,236.3,180,61325,1787,1674,14240,30780,2557,496,7805,140,97,353051,1942,47591,7.135,1337
2007190024,"13/06/08",-16.8116,122.8996,"WA",8141283.81,489302.4742,51,NA,NA,"2007190024001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.011,1100,0.1,2e-04,0.5,24.5,0.05,0.02,50,0.005,4.02,1.1,13.8,0.31,0.66,0.1,0.05,0.05,4600,0.84,0.2,0.05,0.05,0.01,0.05,0.01,300,1.9,0.2,0.05,100,23,0.33,70,0.05,1.59,0.05,5.59,0.4,2.3,0.01,0.5,0.02,0.3,0.025,1.6,0.025,0.05,0.01,1.2,0.01,0.05,0.05,15,0.05,0.53,5.7,1,NA,NA,NA,NA,2.6,45.2,1.1,0.04,NA,6.77,1.2,19.8,0.42,4.7,0.861,0.686,0.0744,0.9,0.632,0.31,9.5,0.199,4.98,0.133,0.6,3.3,2.81,3.8,2.41,0.73,4.1,NA,2.7,NA,0.5,5,0.26,0.128,2.82,0.76,19.5,0.3,6.6,0.897,1.8,374.5,100,3456,307,50,8043,398,30,19.5,37,70,83,458220,1073,0,5.835,4.9975
2007190028,"22/01/08",-31.8126,123.8542,"WA",6480018.168,580848.7693,51,NA,NA,"2007190028001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.014,18900,0.9,0.0016,3,55.6,0.6,0.09,48100,0.09,31.3,7.4,72.9,1.34,19.6,1.5,0.7,0.5,20200,6.1,2.3,0.1,0.05,0.02,0.3,0.02,7100,15.1,11,0.05,5500,340,0.28,190,0.2,13,26.4,7.29,3.4,25.9,0.09,6.7,0.21,2.5,0.36,68.4,0.025,0.3,0.01,3.7,0.14,0.05,0.2,30,0.05,9.3,24.7,2.3,0.001,NA,NA,NA,8.8,143.7,2,0.2,0.18,30.55,8.8,79.8,1.48,21.8,2.108,1.131,0.5888,7.8,2.172,0.28,3.04,0.405,16.93,0.168,1.3,4.9,13.34,44.6,8.46,3.54,29.4,NA,5.9,2.414,1,215.1,0.39,0.382,6.12,1.45,77.3,0.6,13.6,1.108,27.4,120.4,320,33732,123257,834,19821,6716,11523,263,2752,148,460,234593,2691,195729,8.245,63.8
2007190029,"29/01/08",-31.1569,125.6804,"WA",6549915.779,755510.9293,51,NA,NA,"2007190029001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.008,25100,3.3,0.0017,3,90.5,0.8,0.18,74700,0.08,43.7,9.2,79.2,1.75,20,1.9,0.9,0.6,28700,8.89,2.8,0.05,0.1,0.02,0.3,0.04,9400,18.1,13.7,0.05,6300,437,0.17,220,0.2,16.3,24.5,9.97,4.1,30.2,0.1,8.2,0.11,3.2,0.9,53.5,0.025,0.3,0.04,5.8,0.21,0.1,0.4,52,0.05,11.1,46.5,6.7,0.002,NA,7e-04,NA,6.3,182.6,1.9,0.23,0.13,44.31,9.8,84.9,2.58,26.6,2.816,1.618,0.711,11.9,2.949,0.36,5.93,0.582,21.1,0.246,0.9,7.5,16.94,36.3,13.72,4.43,48.2,NA,7.7,3.099,1.3,70.5,0.59,0.508,9.37,1.11,63.3,1.1,16.9,1.696,46.8,228.9,200,51093,80404,44,28186,11572,8756,426,964,227,183,263006,3350,150865,8.385,74.5
2007190034,"10/05/08",-24.1443,118.4823,"WA",7329000.287,650608.9948,50,NA,NA,"2007190034001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.001,9600,10.1,7e-04,3,382,1.5,0.55,4000,0.2,45,19.5,423,1.57,43.5,2.2,1.2,0.7,202000,20,3.6,0.2,0.9,0.005,0.4,0.1,1300,20.5,5.8,0.2,2400,1910,1.36,190,0.3,19.7,42.3,25.2,4.9,10.9,1.33,13.4,0.42,4.3,1.76,20.6,0.025,0.4,0.1,13.4,0.14,0.2,1.2,469,0.05,10.2,65.2,42.3,0.001,0.001,0.0032,NA,16.6,656.5,1.8,0.54,0.49,45.8,23.3,582.2,3.45,48.6,3.623,2.024,0.9792,24.4,3.757,0.9,5.83,0.716,24.79,0.244,2.2,11.1,21.34,54,29.38,5.45,51.9,2.5,17.8,4.438,1.9,49,0.9,0.655,19.29,2.22,586,1.4,20.2,1.977,73.6,200.6,320,43000,9384,61,229088,9488,7935,2688,2693,388,153,232508,9295,31851,8.23,30.5
